global_step,value
50,1.72741
100,1.451451
150,1.157642
200,1.005918
250,1.029866
300,0.818182
350,0.775758
400,0.737443
450,0.750923
500,0.878896
550,0.723609
600,1.166928
650,0.971847
700,1.012339
750,0.827196
800,0.85182
850,0.814808
900,0.650231
950,0.632671
1000,0.547976
1050,0.562285
1100,0.472139
1150,0.438364
1200,0.499255
1250,0.408739
1300,0.455433
1350,0.338066
1400,0.28299
1450,0.379921
1500,0.384182
1550,0.305064
1600,0.37657
1650,0.342043
1700,0.37597
1750,0.32507
1800,0.399688
1850,0.691837
1900,0.70113
1950,0.603975
2000,0.673167
2050,0.581424
2100,0.694454
2150,0.686316
2200,0.502585
2250,0.28743
2300,0.299094
2350,0.275668
2400,0.305244
2450,0.24546
2500,0.254641
2550,0.377152
2600,0.31942
2650,0.297676
2700,0.400428
2750,0.35282
2800,0.345
2850,0.380631
2900,0.395045
2950,0.433814
3000,0.506252
3050,0.411046
3100,0.434972
3150,0.365052
3200,0.441566
3250,0.34836
3300,0.333664
3350,0.283012
3400,0.235238
3450,0.310814
3500,0.413776
3550,0.383239
3600,0.400457
3650,0.444572
3700,0.444389
3750,0.420061
3800,0.419036
3850,0.40171
3900,0.369731
3950,0.379147
4000,0.376802
4050,0.380202
4100,0.362507
4150,0.392843
4200,0.413062
4250,0.739699
4300,0.58957
4350,0.556157
4400,0.521627
4450,0.397609
4500,0.316145
4550,0.218216
4600,0.231982
4650,0.268537
4700,0.267775
4750,0.281673
4800,0.441541
4850,0.425554
4900,0.512564
4950,0.461653
5000,0.396297
5050,0.328285
5100,0.371374
5150,0.343435
5200,0.683303
5250,0.614721
5300,0.53216
5350,0.479719
5400,0.475764
5450,0.340483
5500,0.353674
5550,0.304653
5600,0.352922
5650,0.270989
5700,0.215328
5750,0.261532
5800,0.290071
5850,0.325041
5900,0.352043
5950,0.363867
6000,0.298051
6050,0.348968
6100,0.351807
6150,0.381923
6200,0.475063
6250,0.467938
6300,0.413414
6350,0.407746
6400,0.366074
6450,0.346369
6500,0.37152
6550,0.245169
6600,0.301117
6650,0.238101
6700,0.240395
6750,0.282227
6800,0.267899
6850,0.365454
6900,0.335978
6950,0.321709
7000,0.33541
7050,0.368884
7100,0.366801
7150,0.308439
7200,0.64091
7250,0.526079
7300,0.533526
7350,0.562366
7400,0.533903
7450,0.466681
7500,0.419101
7550,0.392865
7600,0.255471
7650,0.310974
7700,0.208292
7750,0.220097
7800,0.258484
7850,0.294775
7900,0.305688
7950,0.348628
